id,desc,source,lat,lon,type_cd,n_samples,n_tds,n_cond,n_ion_samples,n_iso_samples,tds_min,tds_max,tds_mean,date_oldest,date_newest
5312204,Sid Richardson Company,TWDB,30.85,-102.58,GW,3,2,2,2,0,1003.0,1030.0,1016.5,1998-10-06,2003-05-21
5312206,Robert Richardson,TWDB,30.84,-102.56,GW,1,1,1,1,0,1166.0,1166.0,1166.0,1993-05-20,1993-05-20
5313101,Domaine Cordier,TWDB,30.85,-102.46,GW,2,1,1,1,0,1153.0,1153.0,1153.0,2003-05-20,2003-05-20
5313201,University of Texas,TWDB,30.83,-102.45,GW,1,1,1,1,0,314.0,314.0,314.0,1947-05-09,1947-05-09
5313203,Mesa Vineyards,TWDB,30.83,-102.44,GW,5,4,4,4,0,395.0,442.0,413.2,1993-04-21,2007-08-20
5313204,Mesa Vineyards,TWDB,30.83,-102.43,GW,2,1,0,1,0,341.0,341.0,341.0,2003-05-20,2003-05-20
5313205,Mesa Vineyards,TWDB,30.86,-102.44,GW,2,1,1,1,0,1665.0,1665.0,1665.0,2003-05-20,2003-05-20
5313206,Mesa Vineyards,TWDB,30.84,-102.44,GW,3,2,2,2,0,860.0,936.0,898.0,2003-05-20,2007-08-20
2758701,Billy Cole,TWDB,32.0,-102.85,GW,1,1,1,1,0,754.0,754.0,754.0,1970-07-27,1970-07-27
5313207,Mesa Vineyards,TWDB,30.84,-102.45,GW,1,1,1,1,0,776.0,776.0,776.0,2007-08-20,2007-08-20
5313208,Mesa Vineyards,TWDB,30.85,-102.44,GW,1,1,1,1,0,525.0,525.0,525.0,2007-08-20,2007-08-20
5313209,Mesa Vineyards,TWDB,30.84,-102.45,GW,1,1,1,1,0,1070.0,1070.0,1070.0,2007-08-20,2007-08-20
5313501,St Genevieve Winery,TWDB,30.82,-102.45,GW,2,2,2,2,0,307.0,309.0,308.0,1993-04-21,1998-10-09
5313502,Domaine Cordier,TWDB,30.82,-102.45,GW,2,1,1,1,0,297.0,297.0,297.0,2003-04-09,2003-04-09
5316102,Texas Department of Transportation,TWDB,30.86,-102.09,GW,2,2,2,2,0,292.0,299.0,295.5,1993-04-22,1998-10-07
5317501,La Escalera Ranch,TWDB,30.68,-102.93,GW,3,2,2,2,0,1635.0,1694.0,1664.5,1998-10-13,2003-04-03
5321701,Western Gas Resources ,TWDB,30.66,-102.49,GW,1,1,1,1,0,360.0,360.0,360.0,1979-07-24,1979-07-24
5321702,Western Gas Resources ,TWDB,30.66,-102.49,GW,3,2,2,2,0,338.0,354.0,346.0,1998-10-06,2003-05-21
5325102,La Escalera Ranch,TWDB,30.62,-102.97,GW,3,2,2,2,0,1140.0,1186.0,1163.0,1998-10-12,2003-04-03
5325301,La Escalera Ranch,TWDB,30.62,-102.88,GW,3,2,2,2,0,1041.0,1065.0,1053.0,1998-10-13,2003-04-03
5325601,La Escalera Ranch,TWDB,30.55,-102.88,GW,2,1,1,1,0,941.0,941.0,941.0,1998-10-13,2003-04-03
5325602,La Escalera Ranch,TWDB,30.54,-102.87,GW,1,1,1,1,0,702.0,702.0,702.0,2003-04-03,2003-04-03
5328201,Marsha Lea Daggett,TWDB,30.59,-102.55,GW,3,3,3,3,0,351.0,499.0,422.3,1993-05-20,2004-10-14
5328301,Marsha Lea Daggett,TWDB,30.58,-102.53,GW,2,2,2,2,0,967.0,1014.0,990.5,1993-05-27,2004-10-14
5328302,Marsha Lea Daggett,TWDB,30.58,-102.5,GW,2,2,2,2,0,437.0,942.0,689.5,1998-10-07,2004-10-14
5329401,Gerald Porter,TWDB,30.56,-102.48,GW,4,3,2,3,0,464.0,470.0,467.0,1993-07-20,2003-05-24
5329503,PG&E Gas Transmission ,TWDB,30.55,-102.44,GW,1,1,1,1,0,863.0,863.0,863.0,1999-03-16,1999-03-16
